"","x"
"1","1008_1"
"2","1008_2"
"3","1008_3"
"4","2046_1"
"5","2046_2"
"6","2046_3"
"7","1027_1"
"8","1027_2"
"9","1027_3"
"10","2181_1"
"11","2181_2"
"12","2181_3"
"13","2044_1"
"14","2044_2"
"15","2044_3"
"16","1045_1"
"17","1045_2"
"18","1045_3"
"19","1047_1"
"20","1047_2"
"21","1047_3"
"22","2177_1"
"23","2177_2"
"24","2177_3"
"25","1055_1"
"26","1055_2"
"27","1055_3"
"28","2267_1"
"29","2267_2"
"30","2267_3"
"31","2251_1"
"32","2251_2"
"33","2251_3"
"34","1115_1"
"35","1115_2"
"36","1115_3"
"37","2070_1"
"38","2070_2"
"39","2070_3"
"40","1128_1"
"41","1128_2"
"42","1128_3"
"43","2208_1"
"44","2208_2"
"45","2208_3"
"46","2074_1"
"47","2074_2"
"48","2074_3"
"49","1133_1"
"50","1133_2"
"51","1133_3"
"52","1134_1"
"53","1134_2"
"54","1134_3"
"55","2025_1"
"56","2025_2"
"57","2025_3"
"58","2233_1"
"59","2233_2"
"60","2233_3"
"61","2191_1"
"62","2191_2"
"63","2191_3"
"64","1154_1"
"65","1154_2"
"66","1154_3"
"67","1160_1"
"68","1160_2"
"69","1160_3"
"70","2042_1"
"71","2042_2"
"72","2042_3"
"73","1168_1"
"74","1168_2"
"75","1168_3"
"76","2201_1"
"77","2201_2"
"78","2201_3"
"79","1172_1"
"80","1172_2"
"81","1172_3"
"82","1176_1"
"83","1176_2"
"84","1176_3"
"85","2067_1"
"86","2067_2"
"87","2067_3"
"88","2128_1"
"89","2128_2"
"90","2128_3"
"91","2203_1"
"92","2203_2"
"93","2203_3"
"94","2239_1"
"95","2239_2"
"96","2239_3"
"97","1194_1"
"98","1194_2"
"99","1194_3"
"100","1204_1"
"101","1204_2"
"102","1204_3"
"103","1205_1"
"104","1205_2"
"105","1205_3"
"106","2115_1"
"107","2115_2"
"108","2115_3"
"109","1222_1"
"110","1222_2"
"111","1222_3"
"112","1226_1"
"113","1226_2"
"114","1226_3"
"115","2022_1"
"116","2022_2"
"117","2022_3"
"118","1231_1"
"119","1231_2"
"120","1231_3"
"121","1262_1"
"122","1262_2"
"123","1262_3"
"124","1269_1"
"125","1269_2"
"126","1269_3"
"127","1272_1"
"128","1272_2"
"129","1272_3"
"130","2152_1"
"131","2152_2"
"132","2152_3"
"133","1022_1"
"134","1022_2"
"135","1022_3"
"136","2063_1"
"137","2063_2"
"138","2063_3"
"139","1034_1"
"140","1034_2"
"141","1034_3"
"142","1037_1"
"143","1037_2"
"144","1037_3"
"145","2031_1"
"146","2031_2"
"147","2031_3"
"148","2204_1"
"149","2204_2"
"150","2204_3"
"151","1051_1"
"152","1051_2"
"153","1051_3"
"154","2026_1"
"155","2026_2"
"156","2026_3"
"157","1079_1"
"158","1079_2"
"159","1079_3"
"160","1105_1"
"161","1105_2"
"162","1105_3"
"163","2166_1"
"164","2166_2"
"165","2166_3"
"166","1118_1"
"167","1118_2"
"168","1118_3"
"169","2052_1"
"170","2052_2"
"171","2052_3"
"172","1130_1"
"173","1130_2"
"174","1130_3"
"175","1132_1"
"176","1132_2"
"177","1132_3"
"178","2004_1"
"179","2004_2"
"180","2004_3"
"181","2221_1"
"182","2221_2"
"183","2221_3"
"184","1142_1"
"185","1142_2"
"186","1142_3"
"187","1143_1"
"188","1143_2"
"189","1143_3"
"190","1147_1"
"191","1147_2"
"192","1147_3"
"193","2247_1"
"194","2247_2"
"195","2247_3"
"196","2102_1"
"197","2102_2"
"198","2102_3"
"199","1165_1"
"200","1165_2"
"201","1165_3"
"202","2148_1"
"203","2148_2"
"204","2148_3"
"205","1169_1"
"206","1169_2"
"207","1169_3"
"208","2016_1"
"209","2016_2"
"210","2016_3"
"211","2020_1"
"212","2020_2"
"213","2020_3"
"214","1181_1"
"215","1181_2"
"216","1181_3"
"217","1184_1"
"218","1184_2"
"219","1184_3"
"220","1189_1"
"221","1189_2"
"222","1189_3"
"223","1192_1"
"224","1192_2"
"225","1192_3"
"226","2006_1"
"227","2006_2"
"228","2006_3"
"229","2079_1"
"230","2079_2"
"231","2079_3"
"232","2126_1"
"233","2126_2"
"234","2126_3"
"235","1219_1"
"236","1219_2"
"237","1219_3"
"238","2263_1"
"239","2263_2"
"240","2263_3"
"241","2089_1"
"242","2089_2"
"243","2089_3"
"244","1230_1"
"245","1230_2"
"246","1230_3"
"247","2056_1"
"248","2056_2"
"249","2056_3"
"250","2212_1"
"251","2212_2"
"252","2212_3"
"253","2262_1"
"254","2262_2"
"255","2262_3"
"256","2145_1"
"257","2145_2"
"258","2145_3"
