"","x"
"1","1001_1"
"2","1001_2"
"3","1001_3"
"4","2216_1"
"5","2216_2"
"6","2216_3"
"7","2284_1"
"8","2284_2"
"9","2284_3"
"10","2227_1"
"11","2227_2"
"12","2227_3"
"13","1014_1"
"14","1014_2"
"15","1014_3"
"16","1024_1"
"17","1024_2"
"18","1024_3"
"19","1040_1"
"20","1040_2"
"21","1040_3"
"22","1046_1"
"23","1046_2"
"24","1046_3"
"25","2090_1"
"26","2090_2"
"27","2090_3"
"28","1080_1"
"29","1080_2"
"30","1080_3"
"31","1085_1"
"32","1085_2"
"33","1085_3"
"34","1090_1"
"35","1090_2"
"36","1090_3"
"37","1094_1"
"38","1094_2"
"39","1094_3"
"40","2259_1"
"41","2259_2"
"42","2259_3"
"43","2296_1"
"44","2296_2"
"45","2296_3"
"46","1108_1"
"47","1108_2"
"48","1108_3"
"49","1111_1"
"50","1111_2"
"51","1111_3"
"52","1119_1"
"53","1119_2"
"54","1119_3"
"55","1120_1"
"56","1120_2"
"57","1120_3"
"58","2304_1"
"59","2304_2"
"60","2304_3"
"61","2309_1"
"62","2309_2"
"63","2309_3"
"64","2174_1"
"65","2174_2"
"66","2174_3"
"67","1133_1"
"68","1133_2"
"69","1133_3"
"70","2035_1"
"71","2035_2"
"72","2035_3"
"73","1183_1"
"74","1183_2"
"75","1183_3"
"76","2103_1"
"77","2103_2"
"78","2103_3"
"79","2180_1"
"80","2180_2"
"81","2180_3"
"82","1198_1"
"83","1198_2"
"84","1198_3"
"85","2196_1"
"86","2196_2"
"87","2196_3"
"88","2293_1"
"89","2293_2"
"90","2293_3"
"91","1216_1"
"92","1216_2"
"93","1216_3"
"94","2053_1"
"95","2053_2"
"96","2053_3"
"97","1223_1"
"98","1223_2"
"99","1223_3"
"100","1227_1"
"101","1227_2"
"102","1227_3"
"103","1236_1"
"104","1236_2"
"105","1236_3"
"106","2157_1"
"107","2157_2"
"108","2157_3"
"109","2133_1"
"110","2133_2"
"111","2133_3"
"112","2288_1"
"113","2288_2"
"114","2288_3"
"115","2153_1"
"116","2153_2"
"117","2153_3"
"118","1279_1"
"119","1279_2"
"120","1279_3"
"121","1280_1"
"122","1280_2"
"123","1280_3"
"124","1307_1"
"125","1307_2"
"126","1307_3"
"127","2189_1"
"128","2189_2"
"129","2189_3"
"130","1319_1"
"131","1319_2"
"132","1319_3"
"133","2246_1"
"134","2246_2"
"135","2246_3"
"136","1004_1"
"137","1004_2"
"138","1004_3"
"139","1008_1"
"140","1008_2"
"141","1008_3"
"142","1010_1"
"143","1010_2"
"144","1010_3"
"145","2192_1"
"146","2192_2"
"147","2192_3"
"148","2155_1"
"149","2155_2"
"150","2155_3"
"151","2078_1"
"152","2078_2"
"153","2078_3"
"154","2016_1"
"155","2016_2"
"156","2016_3"
"157","1059_1"
"158","1059_2"
"159","1059_3"
"160","2194_1"
"161","2194_2"
"162","2194_3"
"163","2057_1"
"164","2057_2"
"165","2057_3"
"166","2231_1"
"167","2231_2"
"168","2231_3"
"169","2114_1"
"170","2114_2"
"171","2114_3"
"172","1095_1"
"173","1095_2"
"174","1095_3"
"175","1105_1"
"176","1105_2"
"177","1105_3"
"178","2298_1"
"179","2298_2"
"180","2298_3"
"181","2096_1"
"182","2096_2"
"183","2096_3"
"184","2069_1"
"185","2069_2"
"186","2069_3"
"187","2205_1"
"188","2205_2"
"189","2205_3"
"190","1121_1"
"191","1121_2"
"192","1121_3"
"193","1129_1"
"194","1129_2"
"195","1129_3"
"196","1130_1"
"197","1130_2"
"198","1130_3"
"199","2254_1"
"200","2254_2"
"201","2254_3"
"202","1137_1"
"203","1137_2"
"204","1137_3"
"205","2025_1"
"206","2025_2"
"207","2025_3"
"208","1184_1"
"209","1184_2"
"210","1184_3"
"211","1186_1"
"212","1186_2"
"213","1186_3"
"214","2158_1"
"215","2158_2"
"216","2158_3"
"217","1200_1"
"218","1200_2"
"219","1200_3"
"220","1208_1"
"221","1208_2"
"222","1208_3"
"223","2101_1"
"224","2101_2"
"225","2101_3"
"226","1219_1"
"227","1219_2"
"228","1219_3"
"229","2307_1"
"230","2307_2"
"231","2307_3"
"232","2037_1"
"233","2037_2"
"234","2037_3"
"235","2081_1"
"236","2081_2"
"237","2081_3"
"238","1238_1"
"239","1238_2"
"240","1238_3"
"241","1258_1"
"242","1258_2"
"243","1258_3"
"244","1266_1"
"245","1266_2"
"246","1266_3"
"247","1268_1"
"248","1268_2"
"249","1268_3"
"250","2002_1"
"251","2002_2"
"252","2002_3"
"253","2014_1"
"254","2014_2"
"255","2014_3"
"256","2222_1"
"257","2222_2"
"258","2222_3"
"259","1311_1"
"260","1311_2"
"261","1311_3"
"262","2257_1"
"263","2257_2"
"264","2257_3"
