"","x"
"1","1003_1"
"2","1003_2"
"3","1003_3"
"4","1012_1"
"5","1012_2"
"6","1012_3"
"7","1016_1"
"8","1016_2"
"9","1016_3"
"10","1019_1"
"11","1019_2"
"12","1019_3"
"13","1021_1"
"14","1021_2"
"15","1021_3"
"16","1030_1"
"17","1030_2"
"18","1030_3"
"19","2174_1"
"20","2174_2"
"21","2174_3"
"22","1036_1"
"23","1036_2"
"24","1036_3"
"25","2028_1"
"26","2028_2"
"27","2028_3"
"28","2133_1"
"29","2133_2"
"30","2133_3"
"31","1055_1"
"32","1055_2"
"33","1055_3"
"34","1057_1"
"35","1057_2"
"36","1057_3"
"37","2077_1"
"38","2077_2"
"39","2077_3"
"40","2306_1"
"41","2306_2"
"42","2306_3"
"43","1095_1"
"44","1095_2"
"45","1095_3"
"46","1097_1"
"47","1097_2"
"48","1097_3"
"49","2314_1"
"50","2314_2"
"51","2314_3"
"52","2001_1"
"53","2001_2"
"54","2001_3"
"55","2288_1"
"56","2288_2"
"57","2288_3"
"58","1111_1"
"59","1111_2"
"60","1111_3"
"61","1117_1"
"62","1117_2"
"63","1117_3"
"64","2153_1"
"65","2153_2"
"66","2153_3"
"67","1152_1"
"68","1152_2"
"69","1152_3"
"70","2285_1"
"71","2285_2"
"72","2285_3"
"73","2217_1"
"74","2217_2"
"75","2217_3"
"76","1158_1"
"77","1158_2"
"78","1158_3"
"79","1162_1"
"80","1162_2"
"81","1162_3"
"82","1165_1"
"83","1165_2"
"84","1165_3"
"85","2268_1"
"86","2268_2"
"87","2268_3"
"88","2033_1"
"89","2033_2"
"90","2033_3"
"91","2320_1"
"92","2320_2"
"93","2320_3"
"94","2093_1"
"95","2093_2"
"96","2093_3"
"97","1213_1"
"98","1213_2"
"99","1213_3"
"100","1219_1"
"101","1219_2"
"102","1219_3"
"103","2092_1"
"104","2092_2"
"105","2092_3"
"106","1227_1"
"107","1227_2"
"108","1227_3"
"109","1228_1"
"110","1228_2"
"111","1228_3"
"112","1240_1"
"113","1240_2"
"114","1240_3"
"115","2091_1"
"116","2091_2"
"117","2091_3"
"118","1256_1"
"119","1256_2"
"120","1256_3"
"121","2269_1"
"122","2269_2"
"123","2269_3"
"124","2282_1"
"125","2282_2"
"126","2282_3"
"127","2114_1"
"128","2114_2"
"129","2114_3"
"130","2221_1"
"131","2221_2"
"132","2221_3"
"133","2129_1"
"134","2129_2"
"135","2129_3"
"136","1285_1"
"137","1285_2"
"138","1285_3"
"139","2214_1"
"140","2214_2"
"141","2214_3"
"142","2082_1"
"143","2082_2"
"144","2082_3"
"145","1307_1"
"146","1307_2"
"147","1307_3"
"148","2061_1"
"149","2061_2"
"150","2061_3"
"151","2084_1"
"152","2084_2"
"153","2084_3"
"154","1316_1"
"155","1316_2"
"156","1316_3"
"157","2222_1"
"158","2222_2"
"159","2222_3"
"160","2278_1"
"161","2278_2"
"162","2278_3"
"163","2218_1"
"164","2218_2"
"165","2218_3"
"166","2038_1"
"167","2038_2"
"168","2038_3"
"169","2031_1"
"170","2031_2"
"171","2031_3"
"172","2071_1"
"173","2071_2"
"174","2071_3"
"175","1035_1"
"176","1035_2"
"177","1035_3"
"178","2227_1"
"179","2227_2"
"180","2227_3"
"181","1042_1"
"182","1042_2"
"183","1042_3"
"184","1051_1"
"185","1051_2"
"186","1051_3"
"187","2089_1"
"188","2089_2"
"189","2089_3"
"190","2134_1"
"191","2134_2"
"192","2134_3"
"193","1066_1"
"194","1066_2"
"195","1066_3"
"196","1067_1"
"197","1067_2"
"198","1067_3"
"199","2312_1"
"200","2312_2"
"201","2312_3"
"202","2310_1"
"203","2310_2"
"204","2310_3"
"205","1102_1"
"206","1102_2"
"207","1102_3"
"208","1104_1"
"209","1104_2"
"210","1104_3"
"211","1105_1"
"212","1105_2"
"213","1105_3"
"214","2253_1"
"215","2253_2"
"216","2253_3"
"217","2228_1"
"218","2228_2"
"219","2228_3"
"220","1141_1"
"221","1141_2"
"222","1141_3"
"223","2311_1"
"224","2311_2"
"225","2311_3"
"226","1153_1"
"227","1153_2"
"228","1153_3"
"229","1157_1"
"230","1157_2"
"231","1157_3"
"232","2230_1"
"233","2230_2"
"234","2230_3"
"235","2220_1"
"236","2220_2"
"237","2220_3"
"238","2270_1"
"239","2270_2"
"240","2270_3"
"241","1187_1"
"242","1187_2"
"243","1187_3"
"244","1199_1"
"245","1199_2"
"246","1199_3"
"247","1208_1"
"248","1208_2"
"249","1208_3"
