Plot,Repeat,Vpmax,Vmax,SL,a400,gsw,Vpmax.Vmax,iWUE
1005,3,69.95695898,37.89747,0.138553885,30.61896529,0.213336601,0.54172552,143.5242011
1006,1,26.27743941,24.25196534,0.421924158,11.51184646,0.077360938,0.922919656,148.8069667
1006,2,12.24589812,9.325284597,0.07006108,7.632296939,0.067040013,0.761502709,113.8468886
1006,3,46.22055287,22.96353133,0.147278657,18.51309508,0.116831866,0.496825111,158.4592943
1013,1,102.6180203,35.76558223,0.083251033,32.10481267,0.211085881,0.348531205,152.0936053
1013,2,67.21667941,25.60087053,0.116599989,21.92979609,0.139912252,0.380870801,156.7396406
1017,1,85.26280022,42.88899628,0.112770413,36.36359537,0.268717558,0.503021202,135.3227365
1017,2,27.66352362,16.30435319,0.330103825,10.06598059,0.054901473,0.589380927,183.346274
1017,3,98.46411247,33.71900259,0.271340226,24.5468304,0.129180294,0.342449668,190.01993
1025,1,72.03774233,45.26239205,0.276848465,30.86418993,0.20868519,0.628314972,147.8983244
1031,1,82.32641426,29.10828349,0.07702702,26.26743818,0.168822287,0.353571618,155.5922424
1031,2,36.16510994,24.37037431,0.155219706,18.75466112,0.136898537,0.67386424,136.9967978
1031,3,85.94007667,33.09769294,0.101268111,28.81697363,0.216213441,0.385125243,133.280214
1033,1,121.7360533,44.97168254,0.163925468,36.88800395,0.230017923,0.369419587,160.3701289
1033,2,106.6690376,46.48128797,0.156957203,38.34711853,0.247818946,0.435752389,154.7384458
1033,3,112.1738481,51.83821511,0.179068953,40.72626648,0.281948333,0.462123891,144.4458495
1042,1,82.97779294,38.8304162,0.134385099,32.16894295,0.238070734,0.467961545,135.1234671
1042,2,71.88350372,31.64407053,-0.158747613,33.47573655,0.233248967,0.440213246,143.5193348
1043,1,91.74075865,40.41497151,0.122809157,34.43193679,0.234868886,0.440534525,146.6006729
1043,3,71.84520493,40.23879533,0.071519913,35.3841001,0.31121957,0.560076283,113.6949715
1044,2,72.03741709,33.17367659,0.429204366,18.42676538,0.094644045,0.460506192,194.6954555
1048,1,89.15077756,38.61924474,0.120193921,31.51590878,0.209050377,0.433190218,150.7574833
1048,2,72.48984043,39.77167095,0.12317764,33.43748558,0.260738622,0.548651655,128.2413986
1048,3,77.78070009,45.83581432,0.091086588,40.01758042,0.367454184,0.589295471,108.9049525
1050,1,74.39947305,38.47489103,0.121486056,32.87774805,0.234632253,0.517139295,140.1245891
1050,2,87.95632636,35.48540913,0.128236223,30.24476147,0.190509813,0.403443511,158.7569738
1050,3,63.62657035,27.77567409,0.093273428,24.40221062,0.169194781,0.43654206,144.2255516
1056,1,67.70237591,37.95285947,0.205263095,28.018067,0.202752545,0.560583864,138.1884846
