"meas","pred"
-30.14,-29.4297737511518
-29.64,-29.6979167764457
-29.36,-29.1750414595196
-29.78,-29.3103076577667
-30.34,-29.5910029798391
-30,-29.6002325310846
-30.74,-30.0478503618051
-31.02,-30.3186199380232
-28.53,-29.2685427949486
-29.49,-29.654792044157
-28.92,-29.275024724631
-30.15,-29.7649116702724
-30.35,-29.3598454112209
-30.71,-29.5962245694553
-30.39,-29.9793033049457
-28.78,-29.2720081202577
-29.68,-29.2022916913581
-29.68,-29.5012084853343
-29.8,-29.5355468493751
-30.05,-29.8071097346753
-30.73,-29.7829284149987
-30.69,-29.558123145646
-29.34,-29.5623530364645
-30.51,-29.6197690417079
-31.13,-29.8589735085346
-30.42,-29.8628076457178
-29.9,-29.9138007220255
-30.31,-29.7355533347972
-29.08,-29.575199054527
-29.15,-29.4306907804475
-29.99,-29.6275130964958
-29.67,-29.1602609635235
-30.16,-29.590221131152
-28.7,-29.8294955424168
-29.12,-29.7914459681907
-30.03,-30.0496541574764
-28.81,-29.4037678626836
-29.83,-29.9255599465509
-30.2,-29.7193806213915
-28.86,-29.2536031693322
-30.11,-29.8192479174476
-29.32,-29.5535472318923
-29.25,-29.7916451442339
-29.43,-29.6548087798296
-29.03,-29.6920062426875
-29.92,-29.7366141537632
-29.92,-29.4635819558646
-29.58,-29.5973912498561
-30.02,-29.9090638672319
-27.01,-29.6269215087175
-29.66,-29.7135049638154
-30.18,-29.7675864109429
-29.29,-29.6991816326398
-28.79,-29.666221467231
-29.46,-29.4941398168957
-29.34,-29.4894767603339
-29.33,-29.7103264781022
-26.82,-28.5720908173015
-28.96,-29.0157600701672
-28.22,-29.4113733460856
-29.31,-29.3232138815071
-28.57,-29.3908978715909
-29.87,-29.6804042226261
-29.19,-29.5159745054605
-29.73,-29.5272623468694
-29.55,-29.6755758913851
-29.85,-29.7400304204943
-29.36,-29.6922629751459
-29.16,-29.2284721179828
-29.64,-29.4036434081925
-29.57,-29.3654491641609
-29.12,-29.4253782958123
-28.65,-29.1989384344558
-28.34,-29.1396567447349
-29.47,-29.9732497830968
-29.49,-30.1089370645862
-28.56,-30.4194702188151
-28.82,-29.7614876451902
-28.98,-29.5916523829233
-28.63,-29.7953853724277
-30.3,-29.9334823207807
-28.71,-29.5073995522132
-30.46,-29.4234030716079
-30.6,-29.6582499436399
-29.6,-29.9735787910724
-29.8,-29.6310913269048
-29.37,-29.653887605708
-29.49,-29.5589332167266
-30.04,-29.928538189261
-30.2,-30.1313574615753
-29.99,-29.8605542625675
-29.85,-29.7566099758143
-29.24,-29.8124528991958
-29.22,-29.8257327784166
-30.33,-29.8015288510146
-30.03,-29.4580211351914
-30.15,-29.6651140811349
-29.71,-29.990672307535
-27.71,-29.5883037002229
-28.53,-29.5947979813895
-29.08,-29.7895616851893
-29.87,-29.5072322171359
-29.4,-29.1389208144787
-28.79,-29.8599270200397
-28.71,-29.441377419658
-28.91,-29.8669581898297
-29.03,-29.8595686554158
-29.5,-29.8261757238348
-29.98,-29.9941227457968
-29.82,-29.5636367001203
-29.32,-29.8795141896301
-29.07,-29.9481970425415
-29.77,-30.1962512168556
-30.49,-30.0190897861005
-29.73,-29.9023020919464
-28.37,-29.3600890670437
-28.92,-29.2959337268634
-30.05,-29.7106703171292
-29.67,-29.7796052721747
-29.74,-29.6042268142229
-30,-29.4694151227395
-30.02,-29.6329564887522
-29.67,-29.9214750102465
-30.12,-29.9697441181792
-29.06,-29.7384580962548
-30.13,-29.9729050687313
-30.77,-29.898564350872
-29.75,-29.8295112047568
-29.29,-29.7956298297602
-29.35,-29.5298052002198
-30.83,-29.5430898317169
-30.02,-29.7992094093188
-29.66,-29.5369929319348
-29.83,-29.5880584672628
-30.09,-29.5313635637605
-30.51,-29.1711253679334
-30.5,-30.1556075046989
-29.46,-29.7513318357053
-29.53,-29.6640682645272
-29.79,-29.2230745819356
-28.06,-29.8983312515492
-28.74,-29.5220648756958
-28.46,-29.1773973973183
-28.59,-29.6273950597302
-30.89,-30.0892536115633
-30.5,-29.6559909756499
-29.69,-29.507121873264
-29.82,-29.8822187665464
-28.94,-28.7929167685506
-28.68,-28.9198020492319
-29.98,-29.9506599085599
-29.91,-29.9703040187967
