"meas","pred"
-30.14,-29.4643869768991
-29.64,-29.6132111941227
-29.36,-29.2520881029416
-30.34,-29.6790506079856
-30.44,-29.6811041219414
-30,-29.730814221428
-30.74,-30.0294536539946
-31.02,-30.1610062457862
-28.53,-29.5776678000729
-29.49,-29.7022281545841
-28.92,-29.4108256022049
-30.15,-29.6399993100681
-30.35,-29.6620209039029
-30.71,-29.7683318782258
-30.39,-29.8098208706245
-28.78,-29.4305049311631
-29.68,-29.5271137950084
-29.95,-29.4846452480734
-29.8,-29.605049156015
-30.05,-29.7449943890551
-30.73,-29.6823931299083
-29.34,-29.6185420395692
-29.86,-29.8353549295156
-30.51,-29.6757013903528
-31.13,-29.8775280562808
-30.42,-29.6642460896563
-29.9,-29.6529974947943
-30.31,-29.7376840181107
-29.15,-29.5530162812293
-29.3,-29.7493694698493
-29.99,-29.6193978807631
-29.67,-29.4854022282414
-30.16,-29.5765401366505
-29.12,-29.6973951349576
-28.82,-29.7478539412604
-28.81,-29.4746353934124
-29.08,-29.662518305223
-30.2,-29.8548026273691
-29.84,-29.9748771395209
-30.11,-29.6927618793977
-28.3,-29.3363301622716
-29.66,-29.388954850935
-29.25,-29.8028111370651
-29.43,-29.6946104987627
-29.03,-29.7423408202063
-29.92,-29.6816393084245
-29.92,-29.4904440084712
-29.58,-29.5371822232671
-30.02,-29.786611592431
-27.01,-29.5397048577897
-29.66,-29.6555383417972
-30.18,-29.9029649362438
-29.29,-29.7472259472236
-28.79,-29.8782497647836
-29.34,-29.3954402921055
-29.44,-29.6010240740391
-29.33,-29.849994590147
-26.82,-28.7703386629964
-28.22,-29.6198402371294
-28.68,-29.3704709746339
-28.57,-29.4685599812569
-29.47,-29.5054913578309
-29.87,-29.6612274736521
-29.19,-29.5422918511138
-29.73,-29.4713405763922
-29.55,-29.5650853549962
-29.85,-29.6527435981594
-29.36,-29.655170489066
-29.64,-29.4933394190669
-29.4,-29.3404202085247
-29.12,-29.4246077901352
-29.88,-29.575002054298
-28.65,-29.2429791568238
-28.34,-29.1998698233111
-29.47,-29.9046807907087
-29.49,-30.0002192819214
-28.56,-30.1004031745193
-28.82,-29.7071843823413
-28.98,-29.5277571376431
-28.63,-29.6853182112688
-30.3,-29.7017897783104
-28.71,-29.4806709502076
-30.46,-29.3254944899199
-30.6,-29.8054383510534
-29.6,-29.8566107340248
-29.8,-29.6618886148603
-29.49,-29.5705373956988
-29.29,-29.6991878463801
-30.2,-29.906696246084
-29.94,-29.6626814273877
-29.99,-29.8814913696721
-29.85,-29.710250802206
-29.22,-29.7737155210816
-28.97,-29.7846549475582
-30.33,-29.8247013281339
-30.03,-29.4668926128701
-30.15,-29.6546209884591
-29.71,-29.7411946045942
-27.71,-29.5102975283871
-29.08,-29.7444713253664
-29.2,-29.774983773893
-29.87,-29.5042725604573
-29.4,-29.3299776969322
-28.71,-29.5777040721026
-29.7,-29.6554153351629
-29.03,-29.773758483403
-29.83,-29.9517041306583
-29.5,-29.7139980286843
-29.98,-29.904954427738
-29.82,-29.5540354033012
-29.32,-29.9454495686569
-29.77,-29.8905851708753
-29.33,-29.8957802425986
-29.73,-29.8721756418075
-29.89,-29.8290096194227
-28.92,-29.510469414944
-29.96,-29.6656087182418
-29.67,-29.714772232524
-30.1,-29.8054808704169
-29.74,-29.5705069160665
-30,-29.5018719603079
-30.02,-29.7810742749954
-30.12,-29.9744686472937
-29.27,-29.8465591590257
-29.06,-29.8264807988153
-30.13,-29.9038129991173
-30.77,-29.9379672325776
-29.75,-29.890491201991
-29.29,-29.9348156683885
-29.35,-29.7099262017755
-30,-29.9486887109223
-29.66,-29.5976909792458
-29.6,-29.724169196336
-29.83,-29.6624725634815
-30.09,-29.6008487983521
-30.51,-29.385134302961
-30.5,-30.120942515835
-30.18,-29.7630976287465
-29.46,-29.7751718972876
-29.53,-29.7086320173768
-28.06,-29.6735751359996
-28.74,-29.66689904231
-28.46,-29.3990811934681
-28.59,-29.5701163370305
-30.5,-29.7852786168522
-30.47,-29.7246310110909
-29.82,-29.7978406490174
