"meas","pred"
-13.57,-13.6377868097935
-13.66,-13.8453057815498
-13.76,-13.5284559961291
-13.25,-13.5540274427408
-14.45,-13.530419356325
-13.01,-13.913783061952
-13.27,-13.8577735048109
-13.63,-13.8711140441915
-14.07,-13.9779062180537
-13.88,-13.944325723191
-13.89,-13.8484163266261
-14.2,-13.9454621004163
-13.95,-13.9331574631507
-14,-14.0416439340818
-13.64,-13.9438659206454
-13.85,-14.0427438293943
-14.1,-14.2328221762769
-14.17,-14.0826592847716
-13.53,-14.0651878820546
-14.49,-14.4077232871626
-14.17,-14.2119323743948
-14.06,-13.8598431970207
-14.1,-13.9597779947388
-14.19,-13.894022791805
-14.1,-13.9973283840464
-13.71,-14.2526596513534
-13.71,-13.9619844781391
-14.31,-14.1184924431926
-14.3,-13.807602707193
-14.769,-14.2034963994715
-14.617,-13.9010590112754
-14.24,-14.2816421255442
-14.72,-14.445040002852
-14.08,-13.817655630351
-14.06,-13.8373170563168
-14.21,-13.8956217682282
-13.93,-13.8883009100911
-14.2,-13.8746837408533
-14.75,-14.3213476340765
-15.12,-14.221707049486
-13.81,-14.1860180888343
-14.04,-14.0880259890276
-13.65,-14.0298798131322
-13.742,-13.9230871311243
-14.309,-13.8628619782332
-14.103,-13.8923631753721
-13.47,-13.8038701471092
-13.59,-13.8671876465684
-14.18,-14.1381688963288
-14.18,-14.1962253901357
-14.1,-14.2509734054181
-13.829,-13.8666533839962
-13.271,-13.718876630956
-14.028,-13.8128203083192
-13.86,-13.8396746433223
-13.84,-13.7982115113418
-13.53,-13.7822522590277
-13.75,-13.9636461436869
-13.68,-14.0646861443785
-13.4,-13.905473713695
-13.3,-13.9170117255282
-14.11,-13.8992899328028
-13.23,-14.1041209054482
-13.43,-13.9380530963882
-13.26,-14.1046336257348
-13.824,-13.7277805149169
-13.65,-13.8880247583641
-13.58,-13.9822308143504
-13.2,-13.7860758256775
-13.85,-13.9894855065323
-13.97,-13.8936113337671
-13.25,-13.772682754259
-13.82,-13.8333691615994
-13.92,-14.1452945096501
-13.96,-14.1392836427861
-13.96,-14.1529320880097
-13.73,-14.1029462873038
-13.48,-13.7999475704352
-13.58,-13.7832712752436
-14.47,-14.331187473772
-14.78,-14.4883197828156
-13.827,-14.2167904621796
-13.846,-14.0744731248597
-13.846,-14.434424741425
-13.51,-13.9068831015582
-13.81,-13.9596943074542
-14.365,-14.1964331565503
-14.606,-14.2290013510148
-14.43,-13.8808000974164
-14.54,-14.0171862459929
-14.56,-13.9523413119036
-13.14,-13.752285689554
-14.65,-14.0496542892534
-14.129,-14.1517895234894
-14.129,-14.119869269011
-13.847,-14.3740938693226
-13.86,-13.8623192981371
-13.84,-13.7753884337198
-13.86,-13.8244146054933
-13.77,-13.8701153879693
-13.86,-13.9017155385839
-14.02,-13.9155882622858
-14.04,-13.9737434910058
-14.232,-13.9758996307135
-14.015,-13.8420319411767
-14.293,-14.2016633521407
-14.27,-14.0119270246485
-15.93,-14.0383497269437
-14.13,-13.612486798763
-14.13,-13.6420898737796
-14.17,-14.0116926555729
-13.68,-13.8567952362212
-14,-13.9804466936949
-13.473,-13.6551988421378
-14.179,-13.8428460300432
-13.488,-13.8260051098015
-14.04,-13.903422320107
-13.77,-13.5908410377347
-14.292,-13.9549720074823
-14.26,-13.9414090184822
-14.03,-13.6976175602077
-13.05,-13.4007982109797
-13.23,-13.7462031767434
-12.92,-13.6914498578644
-14.162,-14.0607045705593
-14.454,-14.297804157838
-14.558,-14.0455371732687
-13.8,-13.9275980756889
-14.55,-13.9369689330141
-13.97,-14.1875255193954
-13.58,-14.0481715955322
-13.938,-13.8963526377029
-14.154,-13.8710907461434
-13.991,-13.8960441850964
-14.084,-14.3218174924756
-14.27,-14.1840876648542
-14.46,-13.9836088153546
-14.05,-14.168677006253
-14.16,-14.3398220667337
-13.87,-14.1027174295554
-14.35,-14.1912117595299
-14.17,-14.4617675426131
-13.95,-13.9084958460509
-14.08,-14.0383216870876
-14.84,-14.4072037145637
-14.82,-14.3256620567587
-13.99,-14.0316416326992
-13.88,-14.0051151588511
-13.78,-13.8218061146628
-13.85,-14.0733057121996
-13.78,-14.0190316011815
-14.42,-14.0646411433555
-14.3,-13.9964755669069
-13.69,-13.8070997590063
-14.24,-13.8979787197814
-14.18,-13.6693863171273
-13.49,-14.2322078584393
-13.89,-14.3314837457128
-13.98,-14.0217907920064
-13.75,-13.8486717512748
-13.32,-14.0611787136093
-14.41,-14.0599608432351
-14.23,-13.9637980542377
-14.07,-14.1118330669078
-14.806,-14.0065399237378
-14.184,-14.1422343847253
-14.27,-14.2554605280467
-14.11,-13.9282423569016
-14.43,-14.0352778978178
-14.28,-13.9721317627426
-14.535,-14.1109362417673
-14.068,-14.0296938595966
-14.13,-14.0207448472823
-13.907,-13.688317959133
-13.088,-13.687918887374
-14.03,-14.0717211477731
-14,-13.9583815633925
-13.77,-13.8507596391241
-14,-13.958287691344
