"meas","pred"
-30.1866666666667,-29.9506076538868
-28.98,-29.6385061121543
-30.4033333333333,-30.3476945136973
-29.585,-29.7968675622251
-30.6866666666667,-29.8590164412562
-28.88,-29.4000619103465
-29.9566666666667,-29.9012007839314
-29.09,-29.200999453759
-29.49,-29.545844617421
-28.8966666666667,-29.5326637288196
-29.4133333333333,-29.3573478338549
-29.1166666666667,-29.1726320114339
-29.4,-29.344211024782
-29.5233333333333,-29.2942796524449
-28.495,-28.6814080684932
-29.8233333333333,-29.767899743047
-30,-29.4979814215702
-30.06,-29.6820131340265
-30.17,-29.1674477082039
-28.9366666666667,-29.7737291665031
-29.635,-29.5790818788238
-29.2566666666667,-29.6933664336241
-29.39,-29.761905295466
-29.0833333333333,-29.1392193967129
-29.92,-29.8642050131256
-29.6866666666667,-29.9177284090333
-30.34,-30.3954640496596
-29.495,-29.7404504928161
-28.925,-29.193779257296
-28.5966666666667,-29.5307506651132
-29.78,-29.5627220773223
-29.8833333333333,-29.9392052584916
-30.24,-30.0979025120974
-29.8966666666667,-29.8407618749673
-30.0933333333333,-30.1990178059884
-30.36,-30.1209623393961
-30.025,-30.0805122778621
-30.1366666666667,-30.081218304885
-30.1166666666667,-29.9326424092915
-30.3966666666667,-29.7361005848859
-29.53,-29.3230510125133
-30.2433333333333,-30.1747643961553
-30.4433333333333,-29.9370642767524
-29.02,-29.9856382755024
-29.8866666666667,-29.8413315170058
-29.4766666666667,-29.8621812604538
-29.745,-29.8006507186581
-30.025,-29.7452233269955
-29.07,-29.4532122411198
-30.1366666666667,-30.0809436624043
-29.4733333333333,-29.6995605520778
-29.8566666666667,-29.8009859642827
-29.3933333333333,-29.5473132596585
-29.64,-30.3446570509672
-30.12,-29.9698895498916
-29.55,-29.7820949082238
-30.215,-29.6363048002005
-28.465,-29.829565982365
-30.51,-30.465294306354
-30.17,-30.1073100978387
-30.03,-29.5646209458365
-29.56,-29.6159518405304
-29.455,-29.6519485934272
-30.42,-30.2246234559031
-30.4566666666667,-30.2167411476149
-30.5533333333333,-30.0319033891171
-29.48,-29.652273276755
-30.67,-30.4049942839599
-30.89,-30.369004164526
-30.585,-30.2269481673741
-29.5333333333333,-30.0390248292446
-29.845,-29.8782412534546
-30.45,-30.394040084667
-29.51,-30.0840277903625
