"meas","pred"
-29.7133333333333,-29.6564701021491
-30.1866666666667,-29.6249365217677
-30.5866666666667,-29.858694708078
-28.98,-29.511783445137
-29.77,-29.4389913232087
-30.1933333333333,-29.5141811964599
-30.105,-29.802490956739
-29.1766666666667,-29.614970267412
-28.88,-29.6079559141724
-29.3066666666667,-29.6527408610633
-29.9566666666667,-29.8527852059134
-29.49,-29.4834817875343
-29.4133333333333,-29.6959608637628
-29.1166666666667,-29.6345162534015
-29.5233333333333,-29.5242239734123
-28.495,-29.5768342723432
-28.81,-29.7417786686865
-30.06,-29.8184207346752
-29.1433333333333,-29.6615432634491
-30.17,-29.8471228049057
-29.635,-29.4234764099593
-29.0666666666667,-29.5473468851166
-29.74,-29.5324131615431
-29.57,-29.7452419971443
-29.39,-29.7599032935452
-29.94,-29.741731317371
-29.92,-29.6312469779369
-29.4633333333333,-29.9463859683726
-30.1433333333333,-29.6234995844073
-29.495,-29.6938944213742
-28.925,-30.08498361554
-28.5966666666667,-29.547922401566
-29.78,-29.7949305046501
-28.9566666666667,-29.6655513542256
-29.945,-29.793000903013
-29.87,-29.68901336733
-29.8833333333333,-29.6905401711393
-29.6866666666667,-29.6586356151839
-30.0933333333333,-30.0009557837977
-30.6,-29.786546429866
-30.025,-29.6984412925506
-30.0133333333333,-29.8611111415601
-29.6533333333333,-29.3803076032529
-28.7133333333333,-29.6259051095248
-29.4766666666667,-29.8149331281039
-30.1166666666667,-29.6992762127055
-29.6,-29.8944174933546
-30.2433333333333,-29.8274854134745
-30.5866666666667,-29.8757084860621
-30.4433333333333,-29.7780403205009
-29.4766666666667,-29.639460861637
-29.985,-29.6652478151106
-30.1633333333333,-29.7191095318867
-29.07,-29.5851366757755
-30.0833333333333,-29.7205648138519
-29.4933333333333,-29.6786739007267
-29.6933333333333,-29.7270931026274
-30.0933333333333,-29.7734739639921
-30.1366666666667,-29.7502847173889
-29.8566666666667,-29.6754473297023
-29.6266666666667,-29.895461428241
-30.12,-29.4967852114606
-29.3,-29.7195005416476
-30.215,-29.6464792034172
-29.48,-29.6650051768892
-28.465,-29.6110996845282
-29.745,-29.5921985825537
-30.17,-29.6985124989949
-30.03,-29.8794665528818
-29.56,-29.7755046087443
-29.455,-29.6050517172472
-30.23,-29.6266992894366
-28.0066666666667,-29.7496222366528
-30.1166666666667,-29.849327867976
-30.4566666666667,-29.7262127194166
-29.48,-29.736138461296
-29.2566666666667,-29.7827949918475
-30.67,-29.9650434324377
-29.78,-29.6999827317638
-29.9066666666667,-29.5650106416157
-30.48,-29.4767346006649
-29.68,-29.7944119372292
-30.6966666666667,-29.787213080232
-29.215,-29.4449439019265
-29.845,-29.7286112175486
-29.51,-29.8116321488745
