"meas","pred"
-13.6633333333333,-13.9393025572161
-13.57,-13.5998971230543
-13.45,-13.9071961483419
-14.1,-14.0461262250535
-13.9333333333333,-14.2641767274928
-14.542,-14.0085460949617
-14.2866666666667,-13.9704258978766
-14.1133333333333,-14.1361990464989
-15.01,-14.4253814377788
-13.8333333333333,-14.0748937400478
-13.54,-13.7506836328445
-13.7093333333333,-13.917256968778
-13.7433333333333,-13.6039991400007
-13.7066666666667,-13.9690961297126
-13.6033333333333,-13.6814808581194
-13.3066666666667,-14.2002938153882
-13.5433333333333,-13.8410256682669
-13.8396666666667,-14.0218425946034
-13.6633333333333,-13.939444561133
-14.3223333333333,-14.0472266671187
-14.5066666666667,-13.8604382020078
-14.035,-14.1964790803665
-14.01,-13.955328539862
-13.91,-13.7872698598272
-14.18,-13.9938233825403
-14.8166666666667,-13.983354476418
-14.11,-13.6524654556099
-13.95,-13.9010726739393
-13.9033333333333,-13.9792047675961
-14.194,-13.9907394173387
-14.2266666666667,-13.9806634101774
-14.0276666666667,-13.8080966342434
-14.1943333333333,-14.3750549011599
-14.0033333333333,-13.9560421146894
-14.83,-14.4341375438395
-13.5533333333333,-13.8984422075991
-13.6833333333333,-13.9302435403101
-14.2366666666667,-14.1881735021282
-14.3786666666667,-14.1115692949138
-14.0533333333333,-14.1481425982814
-14.32,-14.1571740874353
-14.05,-13.8868432237811
-13.9833333333333,-13.6238096638108
-14.5213333333333,-14.368748020505
-14.2253333333333,-14.2583497534066
-14.09,-14.1686901678807
-13.66,-14.3211362834021
-14.3033333333333,-14.3017171748722
-13.8633333333333,-13.9631870852037
-13.4056666666667,-13.7425287287536
-13.591,-14.0087441908926
-14.49,-13.9570391888217
-14.2636666666667,-14.080729130844
-14.1713333333333,-14.1573689906451
-14.2266666666667,-14.1432243089875
-13.954,-14.0322428674696
-14.2766666666667,-14.3805716598782
-13.6966666666667,-14.0400204997038
-14.349,-14.2664737667792
-13.8666666666667,-14.3159650679835
-13.2433333333333,-13.547577901937
-13.434,-13.6699969713574
-14.35,-14.1733709518094
-14.0833333333333,-13.939565949212
-14.55,-14.264836824015
-15.3933333333333,-14.1920518740127
-13.5066666666667,-14.0524957667873
-13.8633333333333,-13.8770841966402
-14.2863333333333,-14.092514132613
-13.8433333333333,-14.0007278944424
-13.7593333333333,-13.9416605960879
-13.8233333333333,-14.0122757983234
-13.9733333333333,-14.1338936726943
-13.53,-14.2159069688201
-14.4133333333333,-14.1268969787318
-14.35,-14.293628910199
-13.45,-13.8267355979244
-14.5,-14.0810456874932
-13.81,-13.9043326129408
-14.3666666666667,-14.2223832279782
-14.3213333333333,-13.8189253982562
-13.9626666666667,-13.6587211696993
-14.31,-14.100344234233
-13.67,-13.8802858970449
-13.8333333333333,-13.8266090523896
-14.2463333333333,-14.2505865750711
-14.4766666666667,-14.1699422711511
-13.4536666666667,-13.8021635489476
-14.52,-14.0845971500483
-13.4033333333333,-13.6318568265325
-13.5233333333333,-13.9966664490876
-14.0966666666667,-13.7667404166014
-13.8433333333333,-14.0578748173251
-13.7866666666667,-14.2884468664925
-13.4166666666667,-13.9584559995866
-13.8733333333333,-13.8946729570124
-14.1093333333333,-13.8871562752132
-13.6766666666667,-13.7735428629334
-13.8256666666667,-14.1134753138442
-14.0633333333333,-13.8997410271593
-14.4016666666667,-14.2257066761278
-13.9766666666667,-13.9822374671616
-14.25,-14.1205918485157
-13.8056666666667,-13.8057972975963
-14.0533333333333,-14.1645503971897
-14.0155,-13.8896083521375
-14.1066666666667,-13.9636414453832
-14.39,-14.0650448484283
-14.0133333333333,-14.0948783445924
-13.8066666666667,-13.9608552020266
