0,1,2,3,4,5
1,9,2,0,4,14
3,10,5,7,6,15
12,16,26,8,11,18
30,19,31,13,17,21
33,22,32,24,20,25
36,27,34,48,23,29
39,28,37,54,41,63
44,35,38,59,42,67
46,40,43,60,49,71
47,45,56,61,50,74
51,78,72,62,52,75
55,81,73,68,53,79
57,88,76,69,64,80
58,91,84,70,83,85
65,93,90,82,92,89
66,95,94,87,97,108
77,98,102,101,99,119
86,100,103,104,105,129
96,111,112,106,107,139
110,113,114,124,109,141
116,117,115,136,118,148
120,122,125,137,121,149
133,127,135,142,123,157
138,128,144,143,126,159
147,130,153,165,131,163
151,140,160,167,132,164
161,146,162,182,134,181
176,154,168,183,145,190
177,155,170,191,150,192
178,166,171,194,152,207
185,173,180,195,156,208
187,175,189,197,158,210
188,179,199,202,169,222
193,186,200,203,172,223
196,198,204,217,174,231
206,212,228,227,184,235
209,213,237,229,201,240
211,215,239,243,205,241
214,218,248,244,216,245
219,224,256,255,220,250
221,230,270,257,226,253
225,232,271,265,236,263
233,238,279,266,242,268
234,251,283,269,246,277
261,252,289,274,247,280
262,258,290,276,249,282
264,259,291,278,254,295
273,260,294,285,272,296
286,267,302,293,275,299
287,288,303,297,281,304
298,300,305,301,284,310
308,309,306,307,292,311
