Accession,group1,group2
SSA_00051,1001,2272
SSA_00161,1002,2015
SSA_00087,2222,1003
SSA_00209,2108,1004
SSA_00369,2256,1005
SSA_00255,2164,1006
SSA_00314,1007,2234
SSA_00053,1008,2232
SSA_00107,1009,2170
SSA_00075,1010,2284
SSA_00157,1011,2250
SSA_00313,1012,2278
SSA_00023,2124,1013
SSA_00154,2208,1014
SSA_00264,2265,1015
SSA_00287,2218,1016
SSA_00003,2042,1017
SSA_00187,1018,2198
SSA_00034,2038,1019
SSA_00200,2259,1020
SSA_00167,2031,1021
SSA_00029,1022,2123
SSA_00079,2280,1023
SSA_00179,1024,2211
SSA_00108,1025,2146
SSA_00212,1026,2135
SSA_00006,2304,1027
SSA_00132,1028,2017
SSA_00284,1029,2241
SSA_00232,1030,2071
SSA_00297,2142,1031
SSA_00010,1032,2180
SSA_00304,1033,2271
SSA_00258,1034,2251
SSA_00047,1035,2174
SSA_00164,1036,2227
SSA_00168,1037,2203
SSA_00026,2107,1038
SSA_00266,2281,1039
SSA_00180,2223,1040
SSA_00183,1041,2036
SSA_00262,2028,1042
SSA_00105,2195,1043
SSA_00286,2264,1044
SSA_00242,1045,2113
SSA_00261,1046,2212
SSA_00302,2074,1047
SSA_00259,2045,1048
SSA_00009,2011,1049
SSA_00205,2185,1050
SSA_00041,2133,1051
SSA_00086,1052,2148
SSA_00199,1053,2138
SSA_00136,1054,2163
SSA_00139,1055,2089
SSA_00044,1056,2184
SSA_00109,1057,2134
SSA_00188,1058,2012
SSA_00291,1059,2186
SSA_00092,1060,2143
SSA_00104,1061,2178
SSA_00031,1062,2094
SSA_00022,1063,2246
SSA_00269,2145,1064
SSA_00224,1065,2099
SSA_00042,1066,2077
SSA_00134,2306,1067
SSA_00303,2004,1068
SSA_00171,2313,1069
SSA_00249,1070,2088
SSA_00220,2057,1071
SSA_00280,2290,1072
SSA_00367,1073,2209
SSA_00296,1074,2200
SSA_00067,1075,2027
SSA_00106,1076,2078
SSA_00155,1077,2263
SSA_00339,1078,2115
SSA_00216,1079,2047
SSA_00140,1080,2005
SSA_00263,2160,1081
SSA_00201,1082,2317
SSA_00228,1083,2062
SSA_00290,1084,2101
SSA_00211,1085,2292
SSA_00073,1086,2052
SSA_00230,2309,1087
SSA_00008,1088,2087
SSA_00082,2318,1089
SSA_00030,1090,2067
SSA_00049,1091,2301
SSA_00267,2247,1092
SSA_00197,2154,1093
SSA_00177,1094,2050
SSA_00128,2312,1095
SSA_00308,1096,2021
SSA_00307,2310,1097
SSA_00081,1098,2063
SSA_00292,1099,2104
SSA_00281,2054,1100
SSA_00091,1101,2296
SSA_00115,2314,1102
SSA_00231,2085,1103
SSA_00295,1104,2001
SSA_00306,2288,1105
SSA_00080,2279,1106
