group1,group2
1001,2213
1002,2256
1004,2057
2019,1005
1006,2237
1007,2069
1008,2152
2099,1009
1012,2090
2002,1013
1014,2139
1017,2107
2254,1018
1020,2222
2189,1021
1023,2012
1024,2030
1025,2157
1028,2202
2127,1030
1031,2142
2044,1037
2015,1038
1040,2153
2172,1043
2137,1046
1049,2007
2088,1052
2149,1054
2036,1056
1057,2131
1060,2259
1065,2085
1068,2193
1069,2050
2173,1070
1081,2249
2082,1084
2114,1087
2029,1088
2185,1090
1093,2175
1095,2195
1097,2059
2009,1099
2151,1103
1104,2068
1108,2224
2116,1109
2194,1114
1116,2095
1119,2098
2235,1121
1126,2143
2248,1127
2187,1129
2074,1132
2106,1139
2040,1140
1145,2260
1149,2125
2028,1150
1151,2013
2218,1155
1156,2197
2077,1157
1158,2159
1160,2102
1161,2250
2103,1163
2042,1165
2072,1167
1171,2164
1172,2016
1176,2020
1177,2138
1178,2241
1180,2270
2097,1182
2158,1183
1190,2165
2239,1192
1194,2006
2049,1196
2245,1197
2043,1202
1203,2140
2261,1207
1211,2155
2091,1212
2183,1215
1217,2060
2018,1223
2238,1227
2123,1228
1229,2135
1233,2003
1241,2206
1243,2053
2184,1244
2027,1245
1246,2147
2129,1247
1251,2244
2179,1263
1266,2023
2001,1268
1269,2262
1270,2087
