group1,group2
2272,1001
1002,2015
1003,2222
1005,2256
1008,2232
1009,2170
1011,2250
1012,2278
2124,1013
2265,1015
1019,2038
1021,2031
2211,1024
1025,2146
1028,2017
2241,1029
1032,2180
1033,2271
1036,2227
1037,2203
2195,1043
1046,2212
1054,2163
1055,2089
1057,2134
1062,2094
2099,1065
2306,1067
2209,1073
2200,1074
2078,1076
2005,1080
1081,2160
2317,1082
2292,1085
1089,2318
1091,2301
1092,2247
1096,2021
1099,2104
1101,2296
1103,2085
2001,1104
2035,1107
2175,1108
2199,1112
1120,2090
1121,2069
2299,1126
1128,2055
1130,2226
1132,2238
2266,1135
2298,1137
2248,1143
2068,1145
1148,2060
2316,1150
2081,1151
1154,2206
2237,1155
1156,2105
1159,2254
2167,1161
1163,2111
1164,2192
1166,2016
2229,1167
2034,1169
2261,1171
2032,1175
2020,1182
1184,2177
2106,1185
2268,1187
1189,2201
2172,1190
1194,2169
1196,2193
2307,1203
1206,2083
1209,2297
1213,2182
1216,2018
1217,2136
1218,2152
1219,2303
2092,1220
1221,2137
2187,1224
1225,2120
1226,2003
1231,2044
2173,1233
1235,2260
2026,1237
1240,2040
2149,1241
1242,2132
2162,1246
2002,1255
1258,2274
2255,1260
2121,1261
2282,1264
1268,2194
2029,1272
2189,1274
1275,2009
1277,2112
1278,2168
2096,1280
2095,1281
1285,2144
1286,2191
2013,1287
2233,1288
1290,2257
2007,1293
2006,1297
2119,1299
1301,2100
2079,1302
2245,1305
1310,2158
2084,1314
1317,2118
1318,2097
